country,Meals,Drinks,Groceries,Fruits and Vegetables,Market Items,Cigarettes,Transport,Utilities,Entertainment and Education,Clothing and Shoes,Housing,Mortgage,Total Cost of Living
Afghanistan,7.691666666666666,1.5133333333333334,9.896666666666667,2.875,3.3083333333333336,0.9133333333333334,17975.913333333334,228.20833333333334,439.15333333333336,39.61666666666667,563.4166666666666,5.596666666666667,19278.103333333333
Albania,34.215333333333334,7.309333333333333,21.976666666666667,6.129333333333333,7.793333333333333,2.8713333333333333,27049.321333333333,96.41133333333333,1669.324,197.83399999999997,1546.1833333333334,3.9046666666666665,30643.273999999998
Algeria,17.666176470588233,4.147058823529412,21.102941176470587,7.464705882352941,7.763529411764705,1.9847058823529413,39068.51823529412,68.7664705882353,1053.1629411764707,157.5120588235294,1403.8658823529413,2.811470588235294,41814.76617647059
American Samoa,52.61,9.17,29.509999999999998,7.38,0.0,0.0,0.0,81.14,0.0,0.0,89.46,0.0,269.27
Andorra,61.10333333333333,10.086666666666666,35.36333333333334,12.659999999999998,7.78,5.883333333333333,6369.716666666666,112.13,3138.6966666666667,363.8333333333333,13033.17,2.8433333333333333,23153.266666666666
Angola,23.720000000000002,3.098,7.694,3.5840000000000005,2.414,0.4,9242.81,44.622,741.646,144.344,3279.6620000000003,5.0,13498.993999999999
Anguilla,188.0,20.74,78.88,9.379999999999999,24.340000000000003,0.0,45026.72,302.65,5363.0,0.0,5350.0,0.0,56363.71
Antigua And Barbuda,106.39,17.03,37.56,33.46,16.639999999999997,4.44,44435.95,199.74,274.37,0.0,0.0,9.0,45134.579999999994
Argentina,30.790370370370372,6.248148148148148,14.275925925925925,5.760000000000001,4.763703703703704,1.3740740740740742,31318.645185185185,51.59777777777778,2354.747037037037,205.44,2864.7385185185185,29.237777777777776,36887.618518518524
Armenia,43.48,6.453333333333333,25.665000000000003,7.0299999999999985,8.438333333333334,1.4766666666666666,34488.76,113.41333333333334,4768.905,284.72499999999997,2642.183333333333,12.966666666666667,42403.496666666666
Aruba,88.83,13.7,45.16,25.29,18.049999999999997,8.47,53359.19,258.67,11058.279999999999,342.07000000000005,54966.350000000006,7.12,120191.18
Australia,74.53875,16.8425,30.75828125,16.360625,16.534375,19.30765625,28467.8765625,147.154375,6281.180312500001,241.17453125,6127.575,2.1,41441.40296874999
Austria,81.82857142857142,16.798571428571428,50.15,13.87857142857143,9.026428571428571,5.57,35812.025714285715,238.5614285714286,6730.358571428572,286.38,11093.585714285715,1.8785714285714286,54340.042142857135
Azerbaijan,27.700909090909093,5.834545454545455,14.872727272727273,6.4781818181818185,6.3136363636363635,2.833636363636364,27058.99,54.8609090909091,2212.118181818182,140.40727272727273,1135.4072727272726,8.543636363636365,30674.360909090912
Bahamas,133.0,24.48,42.89,29.090000000000003,25.2,11.0,82166.26,354.66,12467.89,341.38,10538.22,6.75,106140.82
Bahrain,54.54999999999999,25.28,30.64,11.546666666666667,33.22333333333333,5.703333333333333,40665.40666666666,227.70999999999995,5428.91,267.22,5408.196666666667,6.8133333333333335,52165.200000000004
Bangladesh,14.190833333333332,11.7125,16.393333333333334,5.383333333333333,10.386666666666667,2.799166666666667,54421.24333333334,55.14000000000001,1029.16,102.93583333333333,831.2858333333334,8.149166666666666,56508.78000000002
Barbados,126.33,17.81,61.84,20.580000000000002,22.22,7.96,76743.40000000001,150.37,5669.37,390.13,5493.58,6.17,88709.76000000001
Belarus,42.58416666666667,6.729166666666667,20.480833333333333,9.94,9.4,1.715,40752.598333333335,68.5525,5632.711666666666,230.86166666666668,1370.8275,17.076666666666668,48163.4775
Belgium,96.44512820512821,15.908205128205127,40.2825641025641,11.262051282051281,9.704871794871796,7.327179487179487,44882.19589743589,206.79769230769233,11713.123589743589,335.225641025641,6941.998205128205,1.5964102564102565,64261.86743589743
Belize,44.29600000000001,12.85,22.78,12.548,21.506,3.4619999999999997,31628.640000000003,152.98,128.51600000000002,215.786,1977.634,8.134,34229.132
Benin,34.540000000000006,10.579999999999998,17.35,9.209999999999999,7.07,0.88,22500.3,71.89,5468.0,76.3,1100.4,5.0,29301.52
Bermuda,194.0,34.28,78.58000000000001,60.760000000000005,38.32,17.62,75128.65,414.04999999999995,26100.339999999997,429.58000000000004,32364.609999999997,6.5,134867.28999999998
Bhutan,24.61,15.160000000000002,15.926666666666668,9.196666666666667,6.196666666666666,5.536666666666666,39995.943333333336,53.89666666666667,880.46,135.53666666666666,2333.47,10.33,43486.263333333336
Bolivia,16.37142857142857,6.691428571428572,15.15,7.315714285714285,8.209999999999999,2.0,24205.96857142857,79.24571428571429,1868.2785714285715,135.62285714285716,1761.8242857142857,3.84,28110.51857142857
Bosnia And Herzegovina,30.715384615384615,7.342307692307693,24.91846153846154,7.434615384615385,7.4799999999999995,3.23,38509.98769230769,161.91923076923075,2999.9453846153847,235.3246153846154,2278.113076923077,3.8015384615384615,44270.2123076923
Botswana,35.3,7.5,16.643333333333334,9.203333333333333,9.416666666666666,3.5366666666666666,22455.48,69.53666666666668,3529.936666666667,131.17,14313.043333333335,3.3200000000000003,40584.08666666666
Brazil,30.078841463414637,7.0857317073170725,21.06048780487805,6.376280487804879,9.422012195121951,1.819268292682927,32057.48963414634,81.0544512195122,3572.3837195121955,167.77268292682928,1920.2660365853658,7.599024390243902,37882.4081707317
British Virgin Islands,90.0,14.629999999999999,52.95,21.0,15.0,2.4,42676.14,355.77,18712.5,335.0,11266.66,5.5,73547.55
Brunei,37.46,12.669999999999998,39.325,22.959999999999997,8.8,8.13,42785.86,136.84,8463.265,252.79000000000002,4890.715,4.24,56663.055
Bulgaria,39.802,7.2330000000000005,23.05666666666667,7.4896666666666665,6.901666666666667,3.0683333333333334,36210.94966666667,117.24766666666666,3043.762333333333,176.612,1854.8136666666664,3.3056666666666668,41494.24233333334
Burkina Faso,26.990000000000002,6.799999999999999,14.389999999999999,8.440000000000001,8.83,1.61,23.78,132.48,14903.25,121.28,1868.08,8.5,17124.43
Burundi,26.37,7.16,26.6,11.18,23.99,2.43,26232.3,41.56,1014.18,142.85,32955.49,13.0,60497.11
Cambodia,32.448,8.827000000000002,30.761000000000003,11.292,13.172999999999998,1.315,44140.045999999995,113.269,4365.084,118.38600000000001,2479.963,7.85,51322.414
Cameroon,25.64428571428572,6.744285714285715,18.738571428571426,7.974285714285713,6.795714285714285,1.3985714285714284,13150.125714285716,105.13571428571429,1107.7985714285714,143.15142857142857,1171.9657142857143,5.824285714285715,15751.297142857144
Canada,79.68383333333333,18.037666666666667,40.66383333333333,18.115416666666665,18.002083333333335,11.107333333333335,35055.33175,194.5319166666667,9135.190999999999,245.88158333333334,9472.137583333333,4.843999999999999,54293.52799999999
Cape Verde,36.265,6.51,18.12,12.509999999999998,10.83,4.28,24.12,118.72,95.175,0.0,1189.585,20.0,1536.115
Chad,48.190000000000005,7.890000000000001,13.469999999999999,15.16,16.330000000000002,1.93,26988.760000000002,316.13,1873.89,293.16999999999996,1711.3300000000002,0.0,31286.250000000004
Chile,44.528888888888886,10.76037037037037,24.409629629629627,7.568518518518518,7.627037037037037,4.411481481481482,23976.193333333333,107.52851851851852,4017.961111111111,156.81148148148148,2684.7633333333333,3.6707407407407406,31046.234444444442
China,26.23846153846154,8.718653846153845,27.65048076923077,7.199134615384616,12.571057692307694,2.7560576923076923,33329.507596153846,59.17009615384615,10625.691634615385,219.9641346153846,5915.770865384616,4.228557692307692,50239.466730769236
Colombia,21.331923076923076,4.996153846153846,11.854615384615384,5.269230769230769,8.110000000000001,1.3765384615384615,26391.114615384613,73.795,2350.924230769231,145.92000000000002,2754.328461538462,10.762307692307692,31779.783076923075
Comoros,0.0,0.0,10.639999999999999,13.100000000000001,11.690000000000001,1.58,0.0,0.0,32.37,0.0,0.0,0.0,69.38
Congo,44.536,8.906,26.766,18.625999999999998,13.514,1.9100000000000001,52670.904,393.062,6410.6720000000005,198.058,11219.511999999999,11.732,71018.198
Cook Islands,70.55,17.799999999999997,44.50999999999999,27.590000000000003,24.05,0.0,0.0,128.92,0.0,150.73000000000002,6889.35,0.0,7353.5
Costa Rica,49.585,11.799999999999999,31.799999999999997,14.33,18.455,3.9,51232.915,104.845,6041.155000000001,265.41499999999996,4312.615,11.865,62098.68
Croatia,47.930454545454545,10.725,29.26090909090909,7.8531818181818185,8.702272727272726,4.254090909090909,39340.23909090909,177.52454545454546,2443.765909090909,232.95863636363637,4250.380454545454,3.7459090909090906,46557.34045454545
Cuba,39.12222222222223,11.681111111111111,24.994444444444444,15.125555555555556,11.956666666666667,3.611111111111111,103068.16666666669,103.51777777777778,8472.041111111112,218.33333333333334,518.8311111111111,3.1833333333333336,112490.56444444446
Curacao,115.62000000000002,15.75,35.269999999999996,21.72,17.41,8.32,51204.78,251.47,12455.1,286.86,3063.6400000000003,5.68,67481.62
Cyprus,69.85428571428572,14.264285714285716,32.11571428571428,9.79857142857143,10.272857142857143,4.774285714285715,42091.474285714285,184.3685714285714,6173.631428571428,287.1414285714286,5787.575714285714,2.73,54668.00142857143
Czech Republic,37.975227272727274,7.924318181818182,27.332500000000003,8.789545454545454,6.730227272727273,4.896136363636364,38757.63,225.9465909090909,6353.035,219.63204545454545,4574.554545454545,3.521590909090909,50227.96772727273
Denmark,116.175,25.538,44.113,17.46,14.387,8.062000000000001,78217.37299999999,218.67200000000003,5717.465,367.127,10371.341,1.659,95119.37199999999
Djibouti,85.67999999999999,19.25,47.400000000000006,12.27,14.240000000000002,1.4,23212.335,359.2,6413.57,167.04000000000002,3248.305,5.0,33585.69
Dominica,71.1,14.24,31.779999999999998,30.35,14.26,7.4,50072.270000000004,111.32,250.99,380.2,2744.7599999999998,25.0,53753.67
Dominican Republic,48.11692307692307,11.286153846153846,24.033076923076923,10.522307692307693,12.35153846153846,4.359230769230769,21368.685384615383,107.27692307692307,3808.5053846153846,216.5246153846154,1556.8276923076924,7.944615384615385,27176.433846153846
Ecuador,37.71785714285714,10.015,19.44142857142857,6.763571428571429,9.973571428571429,4.135714285714285,39481.73857142857,88.71071428571429,4460.065,230.0692857142857,1837.7492857142856,7.105714285714286,46193.485714285714
Egypt,19.49142857142857,5.225714285714286,13.723333333333333,2.835238095238095,9.635714285714286,1.8823809523809525,31166.85095238095,37.15904761904762,1548.277619047619,147.23571428571427,1069.19,9.997142857142856,34031.50428571429
El Salvador,31.875,10.309999999999999,26.154999999999998,14.905000000000001,16.67,3.81,39394.315,96.675,1476.75,285.06,2438.165,14.17,43808.86
Equatorial Guinea,67.065,14.535,23.335,24.54,8.504999999999999,1.9300000000000002,27161.865,264.59,1007.13,459.83500000000004,1401.605,0.0,30434.935
Eritrea,34.07,8.64,17.17,11.89,3.91,2.5,10.4,30.1,786.0,100.0,5226.16,0.0,6230.84
Estonia,50.373333333333335,13.280833333333334,27.418333333333333,8.727500000000001,11.019166666666669,5.155,40687.096666666665,231.22,11125.760833333334,245.76916666666668,3315.353333333333,2.3966666666666665,55723.57083333333
Ethiopia,24.724999999999998,3.1616666666666666,18.24,5.736666666666667,6.953333333333333,1.7,34543.486666666664,265.7133333333333,10998.039999999999,108.08166666666666,2305.5433333333335,10.18,48291.56166666667
Falkland Islands,72.57,14.52,53.45,0.0,11.31,12.3,2470.85,771.27,594.09,55.35,3690.0,0.0,7745.71
Faroe Islands,143.35250000000002,23.185,37.785,15.599999999999998,21.335,6.907500000000001,64789.595,166.84249999999997,985.03,304.76750000000004,4469.975,0.7475,70965.12250000001
Fiji,44.48333333333333,11.9,23.92,11.296666666666667,13.243333333333332,7.593333333333334,38127.01,78.67,6590.656666666667,160.27666666666664,3174.7766666666666,5.78,48249.60666666667
Finland,99.98185185185186,21.642962962962965,39.458518518518524,14.06074074074074,18.554814814814815,9.091851851851851,52621.35962962963,159.40259259259258,5476.002592592593,287.0248148148148,8118.083333333333,1.3492592592592592,66866.01296296297
France,65.97194690265486,15.341592920353982,37.631150442477875,13.458495575221239,10.087699115044249,8.70654867256637,30166.790530973452,157.5066371681416,4873.043539823009,258.93318584070795,8482.609026548673,1.0246902654867258,44091.105044247786
French Guiana,74.67999999999999,13.649999999999999,66.34,30.53,13.68,6.32,17.31,265.53999999999996,1948.8600000000001,305.58,9703.24,1.6,12447.33
French Polynesia,80.31,17.16,48.6,28.15,22.8,15.74,51281.43000000001,288.06,969.14,322.30999999999995,19230.43,0.0,72304.13
Gabon,107.1,8.6,27.92,17.81,9.129999999999999,2.01,54147.2,174.23000000000002,3822.35,245.91,35605.06,21.5,94188.82
Gambia,22.479999999999997,6.484999999999999,15.715,7.58,5.930000000000001,1.21,2118.0649999999996,131.57,403.22499999999997,87.09,4014.155,5.25,6818.755
Georgia,43.64375,7.824999999999999,24.14375,8.033750000000001,8.6475,2.7375,35419.32125,89.64500000000001,3525.9387500000003,294.5075,1787.9762500000002,12.25375,41224.67375
Germany,70.40006802721088,15.237142857142858,36.46448979591837,10.800068027210884,7.387619047619047,7.121496598639455,41639.678911564624,265.26714285714286,7072.907891156462,291.66931972789115,8243.393333333333,1.6560544217687074,57661.98353741497
Ghana,17.966,3.354,11.198,5.828,3.75,0.712,7489.992,34.704,3929.024,37.698,4913.415999999999,18.666,16466.308
Gibraltar,106.4,15.25,37.01,15.71,11.43,4.06,66300.94,155.19,12465.67,384.55,23038.489999999998,4.22,102538.92000000001
Greece,56.29694444444445,14.95611111111111,32.68083333333333,9.053333333333335,10.307222222222222,4.784166666666667,36817.14027777778,231.1036111111111,6082.466388888889,244.3863888888889,5114.269444444444,3.561111111111111,48621.00583333333
Greenland,49.775000000000006,10.2925,14.725,7.139999999999999,9.585,5.92,13784.1075,290.65,20.005,169.75,5634.8325,0.0,19996.7825
Guadeloupe,49.53,18.900000000000002,47.42,17.59,13.61,0.0,43091.200000000004,216.17000000000002,44.150000000000006,0.0,4004.2299999999996,2.0,47504.8
Guatemala,41.501999999999995,10.612,24.816,10.794,12.628,3.474,38764.414,117.41199999999999,6381.086000000001,279.068,2434.1980000000003,7.9719999999999995,48087.976
Guinea,46.0,14.040000000000001,33.91,13.85,16.0,1.5,22.5,155.12,7783.83,150.0,4290.88,0.0,12527.630000000001
Guinea-Bissau,19.96,9.49,11.64,9.670000000000002,8.34,1.61,8.7,16.24,77.92,329.31,4279.030000000001,0.0,4771.910000000001
Guyana,31.115000000000002,9.4,26.335,18.46,23.17,1.195,16497.129999999997,105.52,1661.975,177.38000000000002,3061.89,4.31,21617.879999999997
Haiti,73.054,15.930000000000001,27.303999999999995,12.694,8.45,1.6600000000000001,64009.63600000001,185.974,5605.148,262.654,2129.264,10.8,72342.568
Honduras,34.81818181818182,8.326363636363636,19.451818181818183,9.067272727272728,12.01909090909091,2.1036363636363635,39781.068181818184,208.72181818181818,3413.210909090909,193.46272727272728,1611.338181818182,10.770909090909091,45304.35909090909
Hong Kong,77.4,23.599999999999998,64.61,20.44,25.46,7.96,65622.6,222.71,19561.15,346.75,63927.15,2.53,149902.36000000002
Hungary,37.905454545454546,6.2286363636363635,23.047727272727272,8.504999999999999,5.280681818181818,4.2318181818181815,31000.556363636362,135.33113636363638,2687.9543181818185,176.72295454545454,2679.111590909091,5.284318181818182,36770.15999999999
Iceland,116.62666666666667,22.44666666666667,58.63999999999999,15.290000000000001,24.063333333333333,10.303333333333333,55500.15833333333,164.065,3044.096666666667,478.27500000000003,12226.293333333333,5.03,71665.28833333333
India,15.9988622754491,7.261676646706587,14.50443113772455,4.756526946107785,11.331616766467064,3.385808383233533,26898.54640718563,36.46,1180.6378443113772,112.34359281437126,1803.0308383233535,8.117904191616766,30096.375508982033
Indonesia,15.423250000000001,8.911750000000001,18.024,8.73125,15.634,1.7454999999999998,38785.94775,71.01275,4241.42025,153.45725,1635.8835000000001,6.36575,44962.557
Iran,31.115675675675675,5.916486486486487,26.04,7.347297297297298,2.8605405405405406,3.054324324324324,96562.98297297298,40.99594594594594,806.3937837837838,378.87945945945944,5780.19,19.46054054054054,103665.23702702706
